date,AAPL,AMD,AMZN,CMCSA,COST,CSCO,CVX,EMLP,FSTA,GDX,GDXJ,GLD,GOOGL,GS,HYG,IBB,INTC,IYR,JNK,JPM,KXI,LQD,META,MSFT,NVDA,ORCL,PG,QQQ,SIVR,SLV,SPY,T,TMF,TTWO,UPRO,USO,UWT,VDC,VDE,VHT,VNQ,VOO,VTI,VZ,WFC,WMT,XOM
2012-02-02,16.2543,6.9300,9.0860,12.5070,85.5100,19.8000,103.6900,,,57.4700,120.7600,171.0500,14.6424,113.3900,90.4600,39.7367,26.4900,61.1400,118.1700,37.5500,33.2000,116.5100,,29.9500,0.3873,28.8100,63.3200,61.2100,34.0700,33.3600,132.6800,22.5000,170.0000,15.7200,2.9467,297.0400,,81.6000,103.9900,64.3900,62.4500,121.4200,68.4600,37.5600,29.9000,20.6467,83.5300
2012-02-03,16.4171,7.0800,9.3840,12.7226,85.3600,20.0900,105.5000,,,56.4400,118.4400,167.6400,14.9232,117.5300,90.7200,40.2133,26.7400,62.0200,118.4700,38.2800,33.4950,116.3400,,30.2400,0.3955,29.1100,62.7700,62.0500,33.3700,32.6900,134.5400,22.6208,159.0750,16.2000,3.0721,300.7200,,81.8900,105.8100,64.7900,63.3200,123.1400,69.4800,37.8400,30.6300,20.6767,84.9200
2012-02-06,16.5704,6.9200,9.1570,12.6945,85.0400,20.1900,106.6700,,,56.1800,116.8000,167.1800,15.2425,117.3900,90.7400,40.6300,26.7200,61.7200,118.5000,38.1400,33.4100,116.6400,,30.2000,0.3925,29.0000,63.5100,62.0000,33.3800,32.6800,134.4500,22.6360,163.5750,16.2700,3.0650,298.6400,,81.9300,107.0700,64.5600,63.1200,122.9600,69.4400,38.1400,30.2000,20.6267,85.7500
2012-02-07,16.7439,7.1300,9.2095,12.6945,84.5600,20.2000,106.8300,,,55.8800,116.8000,169.7000,15.1844,115.9800,90.9200,40.3500,26.6400,61.6700,118.7100,37.8700,33.5750,116.4200,,30.3500,0.3935,28.9500,63.7000,62.1300,33.9400,33.2600,134.7900,22.6888,157.6250,16.0200,3.0883,303.6000,,81.9600,107.6300,64.6300,62.9600,123.3400,69.6000,37.9200,30.2600,20.5633,86.3400
2012-02-08,17.0243,7.2500,9.2740,12.7694,84.2800,20.4300,106.7600,,,55.5400,114.8400,168.5000,15.2615,116.1500,91.0000,40.0367,26.8500,61.7100,118.8000,38.3000,33.5750,116.5400,,30.6600,0.4078,28.7300,63.6400,62.4600,33.7200,33.0400,135.1900,22.6737,158.1250,16.1100,3.1108,304.3200,,82.0100,107.3600,64.6100,63.0700,123.6000,69.7500,37.9200,30.6300,20.5400,85.3200
2012-02-09,17.6132,7.2400,9.2490,12.8679,84.5300,20.0000,106.3700,,,55.2500,113.9600,168.0200,15.3018,115.8800,91.0400,39.8133,26.8600,61.2600,119.0400,37.8600,33.7300,116.1700,,30.7700,0.4075,28.8900,64.0400,62.9100,33.5700,32.9000,135.3600,22.6511,154.5500,16.1900,3.1237,306.6400,,82.3800,107.3600,64.3800,62.6100,123.7400,69.8600,37.9200,30.5800,20.6533,84.8800
2012-02-10,17.6221,7.0500,9.2770,12.7366,84.2000,19.9000,105.2800,,,54.4900,111.8400,167.1400,15.1629,114.1200,90.2500,39.6267,26.7000,60.7500,118.4100,37.6100,33.5050,116.0600,,30.5000,0.3975,28.5000,63.8800,62.4700,33.2000,32.5100,134.3600,22.5378,160.1250,15.8000,3.0625,304.1600,,82.0700,106.1500,64.0900,62.0300,122.9000,69.3100,37.6900,30.2600,20.6333,83.8000
2012-02-13,17.9500,7.2900,9.5795,12.8444,83.8700,20.0300,106.3800,,,54.3000,112.0800,167.5100,15.3203,114.5300,90.5100,40.5533,26.7000,61.4400,118.4100,38.3000,33.7050,116.4600,,30.5800,0.4038,28.4300,64.2300,63.0500,33.4600,32.7500,135.3600,22.6888,160.9500,16.0500,3.1250,309.5200,,82.3900,107.0700,64.6300,62.6600,123.8400,69.8400,38.1300,30.6200,20.5967,84.4200
2012-02-14,18.1950,7.3200,9.5650,12.7694,84.1000,20.0700,106.4900,,,53.7700,110.6000,167.1200,15.2593,112.8700,90.5100,40.1933,26.7800,60.8300,118.2900,37.9200,33.7700,116.5500,,30.2500,0.4060,28.2400,64.4800,63.2100,33.2600,32.5400,135.1900,22.7115,163.6750,15.9000,3.1129,310.7200,,82.6800,107.3600,64.7700,62.0200,123.6600,69.7400,38.0400,30.4200,20.7400,84.6700
2012-02-15,17.7739,7.3000,9.2235,13.3646,83.2400,19.9100,105.0000,,,53.5600,110.4400,168.1100,15.1542,113.1700,90.2200,40.1867,26.5800,60.5300,117.7800,37.4000,33.6600,116.3900,,30.0500,0.4042,27.9800,64.5500,62.7700,33.1600,32.4500,134.5600,22.5604,162.6250,15.5700,3.0683,313.4400,,82.4600,107.2700,64.6300,61.6500,123.1200,69.4400,37.8300,30.1700,20.5867,84.1200
